Tarefa,Status,Etapa,Área,Tipo,Prioridade,Esforço,Prazo,Link,Notas
Decidir como ler o HealthKit de verdade,Bloqueada,Sprint 1 — Dados de saúde,Produto,Pesquisa,P0 — trava tudo,M,,,"Um PWA não acessa o HealthKit. Sem casca nativa (Capacitor ou app nativo) o iPhone não entrega batimento nenhum. É a decisão mais cara em aberto da Fase 0."
Publicar o backend no Railway,Próxima,Sprint 6 — Lançamento beta,Infra,Infra,P0 — trava tudo,M,,,"Variáveis de ambiente, Postgres com TimescaleDB e Redis provisionados"
Publicar o frontend na Vercel,Próxima,Sprint 6 — Lançamento beta,Infra,Infra,P0 — trava tudo,P,,,"Apontar a API para o Railway e travar o CORS no domínio final"
Registrar o domínio e configurar o Cloudflare,Próxima,Sprint 6 — Lançamento beta,Infra,Infra,P0 — trava tudo,P,,,"DNS, SSL e CDN na frente da Vercel"
Escrever os testes do peak_detection,Backlog,Sprint 2 — Eventos e picos,Backend,Infra,P1 — desta semana,M,,,"backend/tests está vazio e o padrão do projeto pede 80% de cobertura nos services. É o algoritmo que define o produto inteiro."
Escrever os testes do event_correlator,Backlog,Sprint 2 — Eventos e picos,Backend,Infra,P1 — desta semana,M,,,"Casar pico com música na janela de 60s é onde a mágica acontece ou falha"
Escrever os testes do card_generator,Backlog,Sprint 4 — Motor de conteúdo,Backend,Infra,P2 — deste mês,M,,,
Voltar as migrações para o Alembic,Backlog,Sprint 0 — Fundação,Backend,Infra,P1 — desta semana,M,,,"Hoje o app roda create_all no startup. Funciona até a primeira mudança de schema em produção, e aí dói."
Confirmar o TimescaleDB no banco de produção,Próxima,Sprint 6 — Lançamento beta,Infra,Infra,P1 — desta semana,P,,,"O código tolera a extensão ausente, mas sem hypertable a tabela hr_data não escala"
Voltar a cachear o card no Redis,Backlog,Sprint 4 — Motor de conteúdo,Backend,Infra,P2 — deste mês,M,,,"Hoje a imagem é regerada a cada requisição. Aguenta o beta, não aguenta um card viralizar."
Ligar o Celery para gerar card em segundo plano,Backlog,Sprint 4 — Motor de conteúdo,Backend,Feature,P2 — deste mês,M,,,
Criar os buckets no Cloudflare R2,Próxima,Sprint 4 — Motor de conteúdo,Infra,Infra,P1 — desta semana,P,,,"Um bucket para cards, um para avatares, com política de acesso público só de leitura"
Configurar o Sentry,Próxima,Sprint 6 — Lançamento beta,Infra,Infra,P1 — desta semana,P,,,"Front e back. Sem isso o beta vira relato de bug por WhatsApp."
Configurar o PostHog e definir os eventos,Próxima,Sprint 6 — Lançamento beta,Growth,Infra,P0 — trava tudo,M,,,"Sem telemetria não dá para responder nenhuma hipótese da Fase 0. Eventos mínimos: cadastro, wearable conectado, sessão criada, card gerado, card compartilhado."
Tirar a chave de produção da Setlist.fm,Próxima,Sprint 2 — Eventos e picos,Backend,Infra,P1 — desta semana,P,,,"Grátis, mas com limite de 2 req/s — precisa de fila e cache"
Contratar o plano da API-Football,Backlog,Sprint 2 — Eventos e picos,Backend,Infra,P2 — deste mês,P,,,"O plano grátis dá 100 req/dia. Não cobre um fim de semana de Brasileirão."
Cadastrar o app no Spotify Web API,Backlog,Sprint 2 — Eventos e picos,Backend,Infra,P2 — deste mês,P,,,"Capa do álbum e metadados enriquecem muito o card"
Calibrar a detecção de picos com dados reais,Backlog,Sprint 6 — Lançamento beta,Backend,Pesquisa,P1 — desta semana,G,,,"O z-score de 2.0 foi escolhido no chute. Só dados de show real dizem se está sensível demais ou de menos."
Escrever a política de privacidade,Próxima,Sprint 6 — Lançamento beta,Legal,Legal,P0 — trava tudo,M,,,"Dado de saúde é dado sensível na LGPD. Não dá para abrir o beta sem isso publicado."
Escrever os termos de uso,Próxima,Sprint 6 — Lançamento beta,Legal,Legal,P0 — trava tudo,M,,,
Desenhar a tela de consentimento de dados de saúde,Backlog,Sprint 1 — Dados de saúde,Produto,Design,P0 — trava tudo,M,,,"Consentimento específico, separado do aceite dos termos, e revogável dentro do app"
Implementar apagar conta e exportar dados,Backlog,Sprint 5 — Perfil e coleção,Backend,Legal,P1 — desta semana,M,,,"Direito do titular na LGPD. Também é o que faz a pessoa confiar em conectar o relógio."
Consultar um advogado sobre dado sensível de saúde,Backlog,Sprint 6 — Lançamento beta,Legal,Legal,P1 — desta semana,P,,,
Revisar todos os textos da interface em pt-BR,Backlog,Sprint 5 — Perfil e coleção,Produto,Conteúdo,P2 — deste mês,M,,,"Tom premium e noturno, sem gíria de startup"
Preparar a estrutura de i18n,Backlog,Sprint 5 — Perfil e coleção,Frontend,Feature,P3 — algum dia,M,,,"pt-BR por padrão, com en pronto para quando fizer sentido"
Testar o fluxo de demonstração com 5 pessoas,Próxima,Sprint 6 — Lançamento beta,Produto,Pesquisa,P0 — trava tudo,M,,,"O modo demo já existe. Sente ao lado de 5 pessoas e assista sem ajudar — é o teste mais barato e mais revelador que existe."
Recrutar 50 beta testers em São Paulo,Fazendo,Sprint 6 — Lançamento beta,Growth,Pesquisa,P0 — trava tudo,G,,,"Filtrar por quem já tem relógio: sem wearable não há produto na Fase 0"
Escolher 3 eventos-piloto,Próxima,Sprint 6 — Lançamento beta,Parcerias,Parceria,P0 — trava tudo,M,,,"O ideal: um show grande com setlist na Setlist.fm, um jogo do Brasileirão e um evento menor de controle"
Escrever o manual de operação de evento,Backlog,Sprint 6 — Lançamento beta,Operação,Processo,P1 — desta semana,M,,,"O que fazer antes, durante e depois do evento para o dado chegar limpo"
Montar o roteiro de mensagens para os beta testers,Backlog,Sprint 6 — Lançamento beta,Growth,Conteúdo,P1 — desta semana,M,,,"Convite, lembrete na véspera, empurrão no dia seguinte para gerar o card"
Falar com 3 venues de São Paulo,Backlog,Sprint 6 — Lançamento beta,Parcerias,Parceria,P2 — deste mês,G,,,
Polir os cards de compartilhamento,Backlog,Sprint 4 — Motor de conteúdo,Design,Design,P1 — desta semana,G,,,"O card é o motor viral. Se ele não for bonito de doer, nada mais importa."
Criar o template de card de comparação com artista,Backlog,Sprint 4 — Motor de conteúdo,Design,Design,P3 — algum dia,G,,,"Só depois que algum artista topar compartilhar os batimentos"
Testar o card nos formatos de cada rede,Backlog,Sprint 4 — Motor de conteúdo,Design,Design,P2 — deste mês,M,,,"Stories 9:16, feed 1:1 e TikTok — cada um corta em um lugar diferente"
